Period	CTA1	CTA2	CTA3	GM1	GM2	LS1	LS2	LS3	MN1	MN2	SDX
50	2.11 	-0.32 	-2.69 	2.08 	0.12 	1.24 	4.01 	0.78 	-0.82 	-0.50 	4.32 
51	1.56 	-1.21 	3.12 	6.58 	2.21 	4.16 	0.87 	-2.81 	-3.46 	-1.58 	3.76 
52	-2.24 	-1.24 	4.43 	5.94 	4.25 	2.18 	-1.67 	1.51 	2.90 	0.54 	-2.64 
53	2.47 	2.25 	-1.07 	-1.83 	-1.97 	3.78 	6.01 	-1.58 	-0.01 	0.38 	1.56 
54	-0.45 	-1.64 	4.93 	6.10 	-0.94 	-2.39 	-0.71 	2.94 	3.82 	1.77 	4.33 
55	0.84 	2.38 	1.89 	-0.38 	-0.84 	-1.48 	2.17 	4.35 	1.42 	-0.19 	0.97 
56	2.85 	-0.42 	3.57 	2.05 	4.08 	-0.41 	3.28 	-0.36 	-0.31 	2.70 	4.56 
57	2.79 	0.60 	2.83 	0.98 	4.67 	6.83 	7.27 	2.80 	0.97 	0.54 	3.21 
58	1.51 	3.81 	-3.05 	-1.56 	-4.21 	-1.32 	2.10 	3.28 	-0.80 	-0.38 	2.18 
59	-1.69 	-1.72 	1.07 	-3.51 	-0.88 	5.21 	3.52 	2.03 	-0.86 	1.66 	4.56 
60	-0.02 	2.29 	-0.90 	5.92 	2.82 	4.70 	2.51 	1.78 	1.23 	0.53 	8.26 
61	0.31 	4.15 	-4.17 	5.02 	4.12 	-1.66 	4.73 	-2.74 	-2.39 	2.31 	0.45 
62	-0.23 	1.76 	1.65 	2.00 	-6.45 	1.93 	3.30 	0.12 	-0.17 	-0.24 	-2.43 
63	-0.97 	-0.85 	-0.65 	2.24 	0.87 	-0.11 	0.22 	-1.37 	-1.79 	2.38 	-0.96 
64	-1.76 	1.06 	2.75 	1.86 	-0.18 	-0.75 	-0.99 	4.16 	-1.63 	-0.46 	-1.56 
65	2.62 	-1.45 	3.26 	-3.57 	-0.11 	7.04 	-1.69 	-3.51 	0.43 	0.83 	2.20 
66	4.32 	-0.67 	2.74 	-1.70 	-2.06 	0.13 	-2.48 	-3.25 	2.26 	1.99 	-0.45 
67	4.67 	-0.55 	4.09 	-0.13 	1.28 	-1.78 	0.56 	9.73 	0.16 	0.06 	-5.78 
68	-1.54 	2.39 	-2.71 	0.05 	-5.35 	-0.87 	0.51 	-0.51 	-0.51 	0.44 	4.53 
69	-0.82 	1.06 	2.37 	5.06 	-0.93 	1.21 	-5.24 	-3.95 	-1.33 	-0.05 	0.12 
70	-0.31 	-0.69 	3.89 	6.19 	-6.24 	-0.45 	3.36 	-2.65 	1.87 	1.38 	0.95 
71	-0.85 	1.27 	1.42 	-4.46 	-5.71 	0.78 	7.45 	-0.01 	-0.74 	-0.14 	2.56 
72	0.45 	0.10 	-1.33 	0.59 	2.48 	0.10 	-0.54 	1.27 	-0.75 	0.50 	1.99 
